adresse,type,loyer_pcm,distance_miles,source,releve,notes
"Barrington Road, SW9",1ch,2150,0.0,Keating Estates,2026-09,"Lumineux, entre Brixton et Loughborough Junction"
"Barrington Road, SW9",1ch,2050,0.0,Zoopla/PrimeLocation,2026-09,
"Coldharbour Lane, SW9",1ch,1850,0.2,Zoopla,2026-09,
"Station Avenue, SW9 (Loughborough Jct)",1ch,1500,0.3,FJ Lord,2026,
"Loughborough Park, SW9",1ch,1750,0.5,OnTheMarket,2026-09,
"Turner Close, SW9",1ch,1700,0.6,Zoopla,2026-09,
"Brixton, SW9 (meublé)",1ch,1700,0.5,Zoopla,2026-09,"Entièrement meublé, rue non précisée"
"Horsford Road, SW2",1ch,1850,0.9,Rightmove,2026-09,Neuf
"Charles Haller Street, SW2",1ch,1650,1.0,Rightmove,2026-09,
"Brading Road, SW2",1ch,2100,1.3,Rightmove,2026-09,Grand 1 chambre
"Angell Road, SW9",studio,1350,0.3,Zoopla/PrimeLocation,2026-09,
"Electric Avenue, SW9",studio,1375,0.4,Zoopla/PrimeLocation,2026-09,
"Brixton Road, SW9",studio,1560,0.5,Rightmove,2026-09,
"Brixton Road, SW9",studio,1200,0.5,Zoopla/PrimeLocation,2026-09,Rénové
"Southey Road, SW9 (Oval)",studio,1350,1.3,Zoopla/PrimeLocation,2026-09,
